DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
1961-01-01,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.8338196221093506,-0.3951665103279866,-0.621238406949332,-0.690344091169007
1961-01-02,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.328726711220482,-0.3951665103279866,-0.5075122635689023,-0.303313288704294
1961-01-03,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.6945276031721883,-0.3951665103279866,-1.349085724584082,-0.5981939001059801
1961-01-04,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.6730099036456174,-0.3951665103279866,-1.3718309532601678,-1.0958049318463252
1961-01-05,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.328726711220482,0.4604080564788266,-1.8039902981058007,-1.888296574988356
1961-01-06,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-1.1898691238514805,-0.8746444732950607
1961-01-07,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.8983727206890635,0.4604080564788266,-2.008697356190574,-1.8145764221379348
1961-01-08,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-0.7577097790058476,-0.5060437090429531
1961-01-09,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.4147975093267662,-0.3951665103279866,-0.9169263797384491,-0.6534840147437961
1961-01-10,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.7804550076819335,-0.4138935179799263
1961-01-11,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.7262311244764958,0.4604080564788266,-2.167913956923176,-1.9251566514135676
1961-01-12,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.2528417348919352,0.4604080564788266,-2.2134044142753475,-0.0016971419339523
1961-01-13,Light Air,-0.332825031126971,Slight,-0.3158328400115896,-0.0591824391527966,-0.3951665103279866,-0.2118242907797851,0.1021475519730241
1961-01-14,Light Air,-0.332825031126971,Slight,-0.3158328400115896,-1.6730099036456174,0.4604080564788266,-2.190659185599262,-1.630276040011881
1961-01-15,Light Air,-0.332825031126971,Slight,-0.3158328400115896,-1.9312222979644689,0.4604080564788266,-2.6000733017688087,-2.0357368806892
1961-01-16,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.8881868989113268,0.4604080564788266,-2.4181114723601214,-2.0357368806892
1961-01-17,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.8768550211624923,-0.3951665103279866,-0.7349645503297617,-1.0036547407832983
1961-01-18,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-0.4847670348928164,0.4338882397999208
1961-01-19,Light Air,-0.332825031126971,Slight,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-1.0988882091471368,-0.8746444732950607
1961-01-20,Light Air,-0.332825031126971,Moderate,-0.3158328400115896,-0.8768550211624923,0.4604080564788266,-1.5992832400210273,-1.5012657725236436
1961-01-21,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-1.0988882091471368,-0.4323235561925317
1961-01-22,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.2118242907797851,-0.2664532122790833
1961-01-23,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.2118242907797851,-0.1005828683656349
1961-01-24,Moderate Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.7375630022253303,-0.3951665103279866,-0.6894740929775899,-0.4138935179799263
1961-01-25,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.95273999749104,-0.3951665103279866,-0.962416837090621,-0.303313288704294
1961-01-26,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.0807001386793675,-0.3951665103279866,-0.962416837090621,-0.8009243204446391
1961-01-27,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.2313240353653639,-0.3951665103279866,-0.621238406949332,-0.008432677302608
1961-01-28,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.295877133945077,-0.3951665103279866,-0.3710408915123867,-0.9115045497202716
1961-01-29,Moderate Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.1667709367856513,-0.3951665103279866,-0.4620218062167304,-0.2848832504916887
1961-01-30,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.1996205140610567,-0.3951665103279866,-0.621238406949332,-0.3586034033421101
1961-01-31,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.328726711220482,-0.3951665103279866,-0.9851620657667072,-0.5981939001059801
1961-02-01,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.0059612183219182,-0.3951665103279866,-1.2353595812036524,-0.9115045497202716
1961-02-02,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.1350674154813438,-0.3951665103279866,-1.2353595812036524,-0.3217433269168994
1961-02-03,Light Breeze,-0.332825031126971,Slight,-0.3158328400115896,-1.1350674154813438,0.4604080564788266,-1.5992832400210273,-1.427545619673222
1961-02-04,Gentle Breeze,-0.332825031126971,Slight,-0.3158328400115896,-0.4465010306310734,-0.3951665103279866,-1.4628118679645117,-0.7087741293816123
