DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
1961-01-01,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.8290909883446351,-0.3899949750166817,-0.6177001527296014,-0.6863743891604186
1961-01-02,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.321138261693097,-0.3899949750166817,-0.5046312010069618,-0.3015801679167808
1961-01-03,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.6848253767767427,-0.3899949750166817,-1.3413414437544953,-0.5947567174357429
1961-01-04,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.6634320170659402,-0.3899949750166817,-1.363955234099023,-1.0894921447489914
1961-01-05,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.321138261693097,0.4697848996516916,-1.7936172506450538,-1.877404121581202
1961-01-06,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.4708917796687158,-0.3899949750166817,-1.1830449113427997,-0.8696097326097699
1961-01-07,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.8932710674770434,0.4697848996516916,-1.997141363745805,-1.8041099842014616
1961-01-08,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.4494984199579133,-0.3899949750166817,-0.7533828947967691,-0.5031390457110673
1961-01-09,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.406711700536308,-0.3899949750166817,-0.9116794272084648,-0.6497273204705484
1961-01-10,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.4708917796687158,-0.3899949750166817,-0.775996685141297,-0.4115213739863916
1961-01-11,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.7221241897906218,0.4697848996516916,-2.1554378961575007,-1.914051190271072
1961-01-12,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.2514702761529627,0.4697848996516916,-2.2006654768465563,-0.0017070064735593
1961-01-13,Light Air,-0.3336994744003797,Slight,-0.3102586298226122,-0.0589300387557384,-0.3899949750166817,-0.2106519265280988,0.1015375876717919
1961-01-14,Light Air,-0.3336994744003797,Slight,-0.3102586298226122,-1.6634320170659402,0.4697848996516916,-2.1780516865020285,-1.6208746407521102
1961-01-15,Light Air,-0.3336994744003797,Slight,-0.3102586298226122,-1.9201523335955724,0.4697848996516916,-2.5850999127035315,-2.023992396340683
1961-01-16,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.877365614173967,0.4697848996516916,-2.404189589947308,-2.023992396340683
1961-01-17,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.8718777077662404,-0.3899949750166817,-0.7307691044522411,-0.9978744730243158
1961-01-18,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.7007308300798191,-0.3899949750166817,-0.482017410662434,0.4313612058806242
1961-01-19,Light Air,-0.3336994744003797,Slight,-0.3102586298226122,-1.4494984199579133,-0.3899949750166817,-1.092589749964688,-0.8696097326097699
1961-01-20,Light Air,-0.3336994744003797,Moderate,-0.3102586298226122,-0.8718777077662404,0.4697848996516916,-1.5900931375443024,-1.4926099003375644
1961-01-21,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.7007308300798191,-0.3899949750166817,-1.092589749964688,-0.4298449083313267
1961-01-22,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.4708917796687158,-0.3899949750166817,-0.2106519265280988,-0.2649330992269105
1961-01-23,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.4708917796687158,-0.3899949750166817,-0.2106519265280988,-0.1000212901224943
1961-01-24,Moderate Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.727612096198348,-0.3899949750166817,-0.6855415237631853,-0.4115213739863916
1961-01-25,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.9415456933063748,-0.3899949750166817,-0.9569070078975204,-0.3015801679167808
1961-01-26,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.080323398466541,-0.3899949750166817,-0.9569070078975204,-0.7963155952300294
1961-01-27,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.2300769164421597,-0.3899949750166817,-0.6177001527296014,-0.0084036183978187
1961-01-28,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.2942569955745679,-0.3899949750166817,-0.3689484589397943,-0.90625680129964
1961-01-29,Moderate Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.1658968373097518,-0.3899949750166817,-0.4594036203179059,-0.2832566335718457
1961-01-30,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.192778103428281,-0.3899949750166817,-0.6177001527296014,-0.3565507709515862
1961-01-31,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.321138261693097,-0.3899949750166817,-0.9795207982420484,-0.5947567174357429
1961-02-01,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.000237866031057,-0.3899949750166817,-1.2282724920318555,-0.90625680129964
1961-02-02,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.1285980242958729,-0.3899949750166817,-1.2282724920318555,-0.319903702261716
1961-02-03,Light Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-1.1285980242958729,0.4697848996516916,-1.5900931375443024,-1.419315762957824
1961-02-04,Gentle Breeze,-0.3336994744003797,Slight,-0.3102586298226122,-0.4440105135501866,-0.3899949750166817,-1.4544103954771348,-0.7046979235053538
