DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,Month
1961-01-01,13.67,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-0.8338196221093506,-0.3951665103279866,-0.621238406949332,-0.690344091169007,1
1961-01-02,11.5,-0.332825031126971,0.8174036484255054,-0.3158328400115896,-1.3287267112204821,-0.3951665103279866,-0.5075122635689023,-0.303313288704294,1
1961-01-03,11.25,-0.332825031126971,-0.36904630656872844,-0.3158328400115896,-1.6945276031721883,-0.3951665103279866,-1.349085724584082,-0.5981939001059801,1
1961-01-04,8.63,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-1.6730099036456174,-0.3951665103279866,-1.3718309532601678,-1.0958049318463252,1
1961-01-05,11.92,-0.332825031126971,2.1553152998019818,-0.3158328400115896,-1.3287267112204821,0.4604080564788266,-1.8039902981058007,-1.8882965749883562,1
1961-01-06,10.67,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-1.1898691238514805,-0.8746444732950607,1
1961-01-07,9.17,-0.332825031126971,0.009607934386878073,-0.3158328400115896,-0.8983727206890635,0.4604080564788266,-2.008697356190574,-1.8145764221379348,1
1961-01-08,14.29,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-0.7577097790058476,-0.5060437090429531,1
1961-01-09,8.04,-0.332825031126971,1.625199362464133,-0.3158328400115896,-1.4147975093267662,-0.3951665103279866,-0.9169263797384491,-0.6534840147437961,1
1961-01-10,11.42,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.7804550076819335,-0.4138935179799263,1
1961-01-11,7.54,-0.332825031126971,-0.3438026905050214,-0.3158328400115896,-0.7262311244764958,0.4604080564788266,-2.167913956923176,-1.9251566514135674,1
1961-01-12,15.54,-0.332825031126971,1.0445961929988694,-0.3158328400115896,-0.25284173489193523,0.4604080564788266,-2.2134044142753475,-0.001697141933952306,1
1961-01-13,4.63,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-0.05918243915279665,-0.3951665103279866,-0.21182429077978515,0.10214755197302415,1
1961-01-14,3.08,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.6730099036456174,0.4604080564788266,-2.190659185599262,-1.630276040011881,1
1961-01-15,2.5,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.9312222979644686,0.4604080564788266,-2.6000733017688087,-2.0357368806891993,1
1961-01-16,9.25,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.8881868989113268,0.4604080564788266,-2.4181114723601214,-2.0357368806891993,1
1961-01-17,13.42,-0.332825031126971,0.0348515504505852,-0.3158328400115896,-0.8768550211624923,-0.3951665103279866,-0.7349645503297617,-1.0036547407832983,1
1961-01-18,17.83,-0.332825031126971,1.65044297852784,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-0.4847670348928164,0.43388823979992086,1
1961-01-19,3.71,-0.332825031126971,-0.24282822625019293,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-1.0988882091471368,-0.8746444732950607,1
1961-01-20,3.17,-0.332825031126971,4.9573566828734705,-0.3158328400115896,-0.8768550211624923,0.4604080564788266,-1.5992832400210273,-1.5012657725236436,1
1961-01-21,8.04,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-1.0988882091471368,-0.4323235561925317,1
1961-01-22,9.38,-0.332825031126971,-0.39428992263243556,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.21182429077978515,-0.2664532122790833,1
1961-01-23,13.7,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.4793506079064789,-0.3951665103279866,-0.21182429077978515,-0.1005828683656349,1
1961-01-24,20.38,-0.332825031126971,1.928122755228618,-0.3158328400115896,-1.7375630022253303,-0.3951665103279866,-0.6894740929775899,-0.4138935179799263,1
1961-01-25,9.25,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.9527399974910398,-0.3951665103279866,-0.962416837090621,-0.303313288704294,1
1961-01-26,14.33,-0.332825031126971,-0.29331545837760714,-0.3158328400115896,-0.08070013867936751,-0.3951665103279866,-0.962416837090621,-0.8009243204446391,1
1961-01-27,16.79,-0.332825031126971,-0.09136652986795032,-0.3158328400115896,-0.23132403536536397,-0.3951665103279866,-0.621238406949332,-0.008432677302608032,1
1961-01-28,12.25,-0.332825031126971,0.23680047896024198,-0.3158328400115896,-0.295877133945077,-0.3951665103279866,-0.37104089151238673,-0.9115045497202715,1
1961-01-29,22.0,-0.332825031126971,1.0950834251262835,-0.3158328400115896,-0.16677093678565136,-0.3951665103279866,-0.4620218062167304,-0.2848832504916887,1
1961-01-30,14.5,-0.332825031126971,-0.11661014593165744,-0.3158328400115896,-1.1996205140610567,-0.3951665103279866,-0.621238406949332,-0.35860340334211016,1
1961-01-31,14.88,-0.332825031126971,0.7164291841706771,-0.3158328400115896,-1.3287267112204821,-0.3951665103279866,-0.9851620657667071,-0.5981939001059801,1
1961-02-01,10.17,-0.332825031126971,0.06009516651429232,-0.3158328400115896,-1.0059612183219182,-0.3951665103279866,-1.2353595812036524,-0.9115045497202715,2
1961-02-02,10.88,-0.332825031126971,-0.44477715475984975,-0.3158328400115896,-1.1350674154813438,-0.3951665103279866,-1.2353595812036524,-0.32174332691689944,2
1961-02-03,8.5,-0.332825031126971,0.5397238717247274,-0.3158328400115896,-1.1350674154813438,0.4604080564788266,-1.5992832400210273,-1.427545619673222,2
