@relation wind_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND {'Gentle Breeze','Light Breeze','Light Air','Moderate Breeze',Calm}
@attribute IND numeric
@attribute RAIN {Slight,Moderate,Heavy}
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
'Gentle Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,-0.30158
'Light Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,-1.620875
'Light Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,-1.364345
'Gentle Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,0.248126
'Gentle Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,0.413038
'Gentle Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,-0.008404
'Gentle Breeze',-0.333699,Slight,3.287567,-0.007774,3.049125,-0.004487,0.101538
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.37983,-0.389995,-0.482017,-0.411521
'Moderate Breeze',-0.333699,Slight,-0.310259,-0.37983,-0.389995,-0.007128,0.32142
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,0.806969,1.109332
'Light Breeze',-0.333699,Slight,-0.310259,-0.358437,-0.389995,0.671286,0.907773
'Light Air',-0.333699,Slight,-0.310259,-1.192778,-0.389995,-0.323721,0.413038
'Light Air',-0.333699,Slight,-0.310259,-0.893271,-0.389995,-0.210652,0.248126
'Light Air',-0.333699,Slight,-0.310259,-0.700731,-0.389995,-0.889066,-0.686374
'Light Air',-0.333699,Slight,-0.310259,-1.085811,0.469785,-1.544866,-1.254404
'Light Air',-0.333699,Slight,-0.310259,-0.914664,-0.389995,-0.911679,-0.30158
'Light Air',-0.333699,Slight,-0.310259,-1.128598,-0.389995,-0.527245,-0.081698
'Light Air',-0.333699,Slight,-0.310259,-1.492285,-0.389995,-0.821224,-0.484816
'Light Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-0.708155,-0.191639
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.449498,-0.389995,-0.595086,0.00992
'Light Breeze',-0.333699,Slight,-0.310259,-1.321138,-0.389995,-1.431797,-1.474286
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.299745,-0.389995,-1.341341,-0.001707
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.706219,-0.389995,-0.482017,-0.411521
'Gentle Breeze',-0.333699,Slight,1.488654,-1.470892,-0.389995,-0.821224,-0.704698
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.615157,-0.389995,-0.549859,-0.319904
'Light Air',-0.333699,Slight,-0.310259,-0.807698,-0.389995,-0.074969,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,-0.486797,-0.389995,-0.549859,-0.30158
'Light Air',-0.333699,Slight,-0.310259,-0.871878,-0.389995,-1.183045,-0.942904
'Light Air',-0.333699,Slight,-0.310259,-1.085811,-0.389995,-0.956907,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,-0.850484,-0.389995,-0.549859,-0.594757
'Light Breeze',-0.333699,Slight,-0.310259,-1.770399,0.469785,-1.522252,-1.107816
'Light Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-1.386569,-1.126139
'Light Breeze',-0.333699,Slight,-0.310259,-1.299745,-0.389995,-1.205659,-0.832963
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.722124,0.469785,-1.567479,-1.419316
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.850484,-0.389995,-0.323721,-0.008404
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.508191,-0.389995,-0.210652,0.193155
'Moderate Breeze',-0.333699,Slight,1.488654,-0.508191,-0.389995,-0.843838,-0.411521
'Moderate Breeze',-0.333699,Slight,-0.310259,-0.465404,-0.389995,-0.708155,-0.136668
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,0.580831,0.779508
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,0.671286,0.834479
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.936058,-0.389995,-0.188038,-0.081698
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.914664,-0.389995,-0.640314,-0.374874
'Light Breeze',-0.333699,Slight,-0.310259,-1.556465,1.329565,-1.341341,-0.961227
'Light Breeze',-0.333699,Slight,-0.310259,-1.684825,0.469785,-2.833852,-2.225551
'Light Breeze',-0.333699,Slight,-0.310259,-1.684825,2.189345,-2.40419,-1.730816
'Light Breeze',-0.333699,Slight,1.488654,-1.556465,0.469785,-2.019755,-1.712492
'Light Breeze',-0.333699,Slight,-0.310259,-1.513678,0.469785,-2.607714,-2.152257
'Light Breeze',-0.333699,Slight,-0.310259,-1.342532,0.469785,-2.313734,-0.001707
'Light Breeze',-0.333699,Slight,-0.310259,-1.214171,-0.389995,-0.685542,0.119861
'Light Breeze',-0.333699,Slight,-0.310259,-1.064418,0.469785,-1.974528,-1.712492
'Moderate Breeze',-0.333699,Slight,-0.310259,-1.085811,-0.389995,-0.391562,-0.411521
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.021631,-0.389995,-0.459404,0.101538
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.064418,-0.389995,-0.233266,0.156508
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.684825,-0.389995,-0.459404,0.174832
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.684825,-0.389995,-1.047362,-0.30158
'Gentle Breeze',-0.333699,Slight,-0.310259,-2.155479,-0.389995,-1.45441,-0.503139
'Light Breeze',-0.333699,Slight,-0.310259,-2.283839,-0.389995,-1.115204,-0.448168
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.791792,-0.389995,-1.205659,-0.503139
'Moderate Breeze',-0.333699,Slight,-0.310259,-0.978845,0.469785,-1.9293,-0.001707
'Light Breeze',-0.333699,Slight,-0.310259,0.090823,-0.389995,-0.459404,-0.008404
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.572371,-0.389995,-0.821224,0.00992
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.843838,-0.001707
'Gentle Breeze',-0.333699,Slight,1.488654,-0.508191,-0.389995,0.264238,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,0.264238,0.706214
'Light Breeze',-0.333699,Slight,-0.310259,-0.358437,-0.389995,0.151169,0.303096
'Light Breeze',-0.333699,Slight,-0.310259,-0.272864,-0.389995,-0.979521,-1.199433
'Light Breeze',-0.333699,Slight,-0.310259,-0.465404,0.469785,-1.74839,-1.620875
'Light Breeze',-0.333699,Slight,-0.310259,-0.936058,-0.389995,-1.45441,-1.49261
'Light Air',-0.333699,Slight,-0.310259,-1.663432,-0.389995,-1.069976,-0.008404
'Light Breeze',-0.333699,Slight,-0.310259,-0.871878,0.469785,-1.906686,-1.529257
'Light Breeze',-0.333699,Slight,-0.310259,-1.406712,-0.389995,-0.911679,-0.997874
'Light Breeze',-0.333699,Slight,-0.310259,-1.642039,-0.389995,-1.386569,-1.364345
'Light Breeze',-0.333699,Slight,-0.310259,-1.791792,0.469785,-1.477024,-1.346022
'Light Breeze',-0.333699,Slight,-0.310259,-1.363925,-0.389995,-0.956907,-0.86961
'Light Breeze',-0.333699,Slight,-0.310259,-1.192778,-0.389995,-1.069976,-0.686374
'Light Breeze',-0.333699,Slight,1.488654,-1.470892,-0.389995,-0.323721,0.303096
'Gentle Breeze',-0.333699,Slight,1.488654,-0.722124,-0.389995,-0.730769,-1.162786
'Gentle Breeze',-0.333699,Moderate,-0.310259,-1.085811,-0.389995,-0.346335,-0.081698
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.850484,-0.389995,-0.346335,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.12311,-0.389995,0.151169,0.284773
'Light Breeze',-0.333699,Slight,-0.310259,-0.722124,-0.389995,-1.409183,-1.291051
'Gentle Breeze',-0.333699,Moderate,-0.310259,-1.663432,-0.389995,-0.708155,-0.704698
'Moderate Breeze',-0.333699,Slight,-0.310259,-1.642039,-0.389995,-1.069976,-0.503139
'Moderate Breeze',-0.333699,Slight,-0.310259,-1.663432,-0.389995,-0.6177,-0.503139
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.679337,-0.389995,-0.640314,-0.136668
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.764911,-0.389995,-0.368948,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,-0.486797,-0.389995,-0.029742,-0.173315
'Light Breeze',-0.333699,Slight,-0.310259,-0.936058,-0.389995,-0.007128,0.706214
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.230077,-0.389995,-0.572473,-0.631404
'Light Breeze',-0.333699,Slight,-0.310259,-0.422617,-0.389995,0.196396,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.657944,-0.389995,-0.79861,-0.448168
'Light Breeze',-0.333699,Slight,-0.310259,-0.679337,0.469785,-1.703162,-1.419316
'Light Breeze',-0.333699,Slight,-0.310259,-1.149991,-0.389995,-0.572473,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,-1.214171,-0.389995,-0.142811,0.614597
'Light Breeze',-0.333699,Slight,-0.310259,-1.321138,-0.389995,-0.323721,0.303096
'Light Breeze',-0.333699,Slight,-0.310259,-1.428105,-0.389995,-1.386569,-1.071169
'Light Breeze',-0.333699,Slight,-0.310259,-1.642039,-0.389995,-0.504631,-0.594757
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.449498,-0.389995,-0.482017,0.119861
'Light Breeze',-0.333699,Slight,-0.310259,-1.192778,-0.389995,-1.2735,-0.92458
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.321138,-0.389995,-0.979521,-0.686374
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.214171,-0.389995,-1.205659,-0.759669
'Light Breeze',-0.333699,Slight,-0.310259,-0.486797,-0.389995,-1.341341,-1.089492
'Light Breeze',-0.333699,Slight,-0.310259,-0.486797,-0.389995,-0.753383,-0.777992
'Light Breeze',-0.333699,Slight,-0.310259,-0.165897,0.469785,-1.680548,-1.162786
'Gentle Breeze',-0.333699,Slight,-0.310259,0.13361,1.329565,-0.074969,0.00992
'Gentle Breeze',-0.333699,Slight,-0.310259,0.176397,-0.389995,0.309465,0.229802
'Light Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,-1.160431,-0.796316
'Light Breeze',-0.333699,Slight,-0.310259,0.155004,-0.389995,0.173783,0.00992
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.080323,-0.389995,0.739127,0.999391
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,-0.459404,-0.24661
'Moderate Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.368948,0.119861
'Light Breeze',-0.333699,Slight,-0.310259,0.13361,-0.389995,0.173783,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,-0.37983,-0.389995,0.128555,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.151169,0.614597
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.294257,-0.389995,0.264238,0.504655
'Light Air',-0.333699,Slight,-0.310259,-0.18729,-0.389995,-0.934293,-0.723021
'Light Breeze',-0.333699,Slight,-0.310259,-0.572371,-0.389995,-0.662928,-0.686374
'Light Breeze',-0.333699,Slight,-0.310259,-0.893271,-0.389995,-0.074969,0.339744
'Light Breeze',-0.333699,Slight,-0.310259,-0.401224,-0.389995,-0.459404,-0.173315
'Light Breeze',-0.333699,Slight,-0.310259,0.26197,-0.389995,-0.301107,-0.24661
'Light Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.821224,-0.686374
'Gentle Breeze',-0.333699,Slight,-0.310259,0.26197,-0.389995,0.422534,0.926097
'Light Breeze',-0.333699,Slight,-0.310259,0.26197,-0.389995,0.829582,0.229802
'Gentle Breeze',-0.333699,Slight,-0.310259,0.19779,-0.389995,0.739127,1.072685
'Gentle Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,0.671286,0.907773
'Gentle Breeze',-0.333699,Slight,-0.310259,0.176397,-0.389995,0.286851,0.541302
'Gentle Breeze',-0.333699,Slight,-0.310259,0.06943,-0.389995,0.060714,0.376391
'Gentle Breeze',-0.333699,Slight,-0.310259,0.13361,-0.389995,-0.097583,0.101538
'Light Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.422534,0.907773
'Moderate Breeze',-0.333699,Slight,-0.310259,0.347544,-0.389995,0.467762,0.486332
'Moderate Breeze',-0.333699,Slight,-0.310259,0.497297,-0.389995,0.241624,0.522979
'Gentle Breeze',-0.333699,Slight,1.488654,0.347544,-0.389995,0.015486,0.303096
'Light Breeze',-0.333699,Slight,-0.310259,0.368937,-0.389995,0.806969,0.614597
'Gentle Breeze',-0.333699,Slight,-0.310259,0.497297,-0.389995,0.920038,0.926097
'Moderate Breeze',-0.333699,Slight,-0.310259,0.283364,-0.389995,0.015486,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,0.716513,0.614597
'Gentle Breeze',-0.333699,Slight,-0.310259,0.219184,-0.389995,0.173783,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.535603,0.962744
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.191403,1.219273
'Gentle Breeze',-0.333699,Slight,-0.310259,0.475904,-0.389995,0.0381,0.101538
'Light Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,-0.301107,-0.063374
'Light Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,-0.323721,-0.191639
'Light Breeze',-0.333699,Slight,-0.310259,1.438605,-0.389995,0.422534,0.614597
'Light Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.21901,0.119861
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.259244,1.292567
'Light Breeze',-0.333699,Slight,-0.310259,0.368937,-0.389995,0.173783,0.248126
'Light Breeze',-0.333699,Slight,-0.310259,0.390331,-0.389995,-0.142811,-0.081698
'Light Breeze',-0.333699,Slight,-0.310259,0.732624,-0.389995,1.214017,1.20095
'Light Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.648672,0.871126
'Light Breeze',-0.333699,Slight,-0.310259,0.647051,-0.389995,0.286851,0.468008
'Gentle Breeze',-0.333699,Slight,-0.310259,1.032131,-0.389995,0.852196,0.962744
'Gentle Breeze',-0.333699,Slight,-0.310259,1.139098,-0.389995,0.942651,1.145979
'Light Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,0.0381,0.064891
'Light Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,0.806969,0.559626
'Light Breeze',-0.333699,Slight,-0.310259,0.347544,-0.389995,1.033107,1.20095
'Light Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,1.146175,1.549097
'Light Air',-0.333699,Slight,-0.310259,1.096311,-0.389995,-0.074969,0.083214
'Gentle Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,1.168789,0.907773
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.550977,-0.389995,0.671286,1.091008
'Light Breeze',-0.333699,Slight,-0.310259,-0.422617,-0.389995,0.060714,0.614597
'Light Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,0.173783,0.413038
'Gentle Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,0.6939,1.237597
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.304472,1.219273
'Light Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,1.05572,0.63292
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.146175,1.384185
'Light Breeze',-0.333699,Slight,-0.310259,0.989345,-0.389995,0.6939,0.797832
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,1.394927,1.457479
'Light Breeze',-0.333699,Slight,-0.310259,1.224672,-0.389995,1.168789,0.907773
'Gentle Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,1.078334,1.20095
'Light Breeze',-0.333699,Slight,-0.310259,0.732624,-0.389995,1.327086,1.530773
'Light Breeze',-0.333699,Slight,-0.310259,1.010738,-0.389995,0.942651,0.834479
'Gentle Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,0.173783,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,0.668444,-0.389995,0.39992,0.504655
'Gentle Breeze',-0.333699,Slight,-0.310259,1.246065,-0.389995,0.739127,0.871126
'Light Breeze',-0.333699,Slight,-0.310259,0.625657,-0.389995,0.920038,1.054361
'Light Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,0.445148,0.358067
'Gentle Breeze',-0.333699,Slight,-0.310259,0.347544,-0.389995,-0.029742,0.00992
'Light Breeze',-0.333699,Slight,-0.310259,0.625657,-0.389995,-0.459404,-0.173315
'Light Breeze',-0.333699,Slight,-0.310259,1.267458,-0.389995,-0.459404,-0.001707
'Light Air',-0.333699,Slight,-0.310259,0.240577,-0.389995,0.920038,1.054361
'Light Air',-0.333699,Slight,-0.310259,0.561477,-0.389995,0.739127,1.384185
'Light Air',-0.333699,Slight,-0.310259,1.438605,-0.389995,0.151169,0.119861
'Light Air',-0.333699,Slight,-0.310259,1.331638,-0.389995,0.942651,0.797832
'Light Breeze',-0.333699,Slight,-0.310259,1.802292,-0.389995,0.942651,0.981067
'Light Breeze',-0.333699,Slight,-0.310259,1.139098,-0.389995,1.575838,1.82395
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,1.485382,1.805626
'Light Breeze',-0.333699,Slight,-0.310259,1.417212,-0.389995,0.535603,0.541302
'Gentle Breeze',-0.333699,Slight,-0.310259,1.545572,-0.389995,1.372313,1.329214
'Light Breeze',-0.333699,Slight,-0.310259,1.459999,-0.389995,1.259244,1.274244
'Light Breeze',-0.333699,Slight,-0.310259,1.010738,-0.389995,1.417541,1.585744
'Light Breeze',-0.333699,Slight,-0.310259,0.668444,-0.389995,1.100948,1.439156
'Light Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,-0.165424,-0.008404
'Light Breeze',-0.333699,Slight,-0.310259,0.946558,-0.389995,0.648672,1.017714
'Light Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,0.264238,0.193155
'Moderate Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,1.05572,0.834479
'Gentle Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,0.920038,1.054361
'Gentle Breeze',-0.333699,Slight,-0.310259,0.903771,-0.389995,0.580831,0.742861
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,0.286851,0.504655
'Gentle Breeze',-0.333699,Slight,-0.310259,1.524179,-0.389995,1.553224,1.732332
'Light Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.829582,0.907773
'Light Breeze',-0.333699,Slight,-0.310259,1.374425,-0.389995,0.942651,0.779508
'Gentle Breeze',-0.333699,Slight,-0.310259,1.652539,-0.389995,1.801975,2.062156
'Gentle Breeze',-0.333699,Slight,-0.310259,1.845079,-0.389995,-0.323721,-0.001707
'Light Air',-0.333699,Slight,-0.310259,1.909259,-0.389995,0.580831,0.376391
'Light Air',-0.333699,Slight,-0.310259,1.566965,-0.389995,1.801975,1.732332
'Light Air',-0.333699,Slight,-0.310259,0.625657,-0.389995,1.575838,1.622391
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.71152,1.805626
'Light Air',-0.333699,Slight,-0.310259,1.010738,-0.389995,1.304472,1.109332
'Light Air',-0.333699,Slight,-0.310259,1.310245,-0.389995,1.304472,1.274244
'Light Air',-0.333699,Slight,-0.310259,1.673932,-0.389995,1.417541,1.219273
'Light Breeze',-0.333699,Slight,-0.310259,1.588359,-0.389995,1.892431,2.172097
'Light Breeze',-0.333699,Slight,-0.310259,1.887866,-0.389995,1.801975,1.51245
'Light Breeze',-0.333699,Slight,-0.310259,1.780899,-0.389995,2.050727,2.172097
'Light Air',-0.333699,Slight,-0.310259,1.353032,-0.389995,0.829582,0.926097
'Gentle Breeze',-0.333699,Slight,-0.310259,1.738112,-0.389995,1.327086,1.439156
'Gentle Breeze',-0.333699,Slight,-0.310259,1.652539,-0.389995,1.53061,1.768979
'Light Breeze',-0.333699,Slight,-0.310259,1.331638,-0.389995,1.892431,1.988862
'Light Breeze',-0.333699,Slight,-0.310259,1.909259,-0.389995,1.892431,2.098803
'Gentle Breeze',-0.333699,Slight,-0.310259,1.353032,-0.389995,1.598451,1.842273
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.575838,1.732332
'Gentle Breeze',-0.333699,Slight,-0.310259,1.502785,-0.389995,1.71152,1.82395
'Light Breeze',-0.333699,Slight,-0.310259,2.208766,-0.389995,2.050727,2.245391
'Light Air',-0.333699,Slight,-0.310259,1.802292,-0.389995,2.050727,1.768979
'Light Breeze',-0.333699,Moderate,-0.310259,1.224672,-0.389995,1.801975,1.420832
'Light Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,1.146175,1.530773
'Light Breeze',-0.333699,Slight,-0.310259,0.668444,-0.389995,0.829582,1.017714
'Light Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,1.05572,1.365861
'Light Air',-0.333699,Slight,-0.310259,1.224672,-0.389995,0.309465,1.109332
'Light Air',-0.333699,Slight,-0.310259,0.775411,-0.389995,1.507996,0.669567
'Light Air',-0.333699,Slight,-0.310259,1.160491,-0.389995,1.440155,1.622391
'Light Air',-0.333699,Slight,-0.310259,1.032131,-0.389995,0.241624,0.559626
'Light Breeze',-0.333699,Slight,-0.310259,0.796804,-0.389995,1.417541,1.420832
'Light Air',-0.333699,Slight,-0.310259,1.160491,-0.389995,0.829582,0.724538
'Light Air',-0.333699,Slight,-0.310259,1.203278,-0.389995,0.6939,0.669567
'Light Breeze',-0.333699,Moderate,-0.310259,1.096311,-0.389995,1.417541,1.402509
'Gentle Breeze',-0.333699,Moderate,-0.310259,0.775411,-0.389995,1.801975,2.025509
'Gentle Breeze',-0.333699,Slight,-0.310259,0.604264,-0.389995,1.666293,1.933891
'Light Breeze',-0.333699,Slight,-0.310259,0.433117,-0.389995,0.196396,0.431361
'Light Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,-0.482017,-0.576433
'Light Air',-0.333699,Slight,-0.310259,0.497297,-0.389995,-0.708155,-0.576433
'Light Breeze',-0.333699,Slight,-0.310259,1.224672,-0.389995,0.309465,0.248126
'Gentle Breeze',-0.333699,Slight,-0.310259,1.139098,-0.389995,1.643679,1.237597
'Gentle Breeze',-0.333699,Slight,-0.310259,1.738112,-0.389995,2.163796,1.915567
'Gentle Breeze',-0.333699,Slight,-0.310259,1.887866,-0.389995,2.095955,2.117126
'Light Breeze',-0.333699,Slight,-0.310259,1.524179,-0.389995,1.621065,1.072685
'Light Breeze',-0.333699,Slight,-0.310259,2.080406,-0.389995,0.897424,0.522979
'Gentle Breeze',-0.333699,Slight,-0.310259,0.989345,-0.389995,1.146175,0.907773
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,0.377307,-0.796316
'Light Air',-0.333699,Slight,-0.310259,0.732624,-0.389995,-0.730769,-0.319904
'Light Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,-0.504631,-0.30158
'Gentle Breeze',-0.333699,Slight,-0.310259,0.796804,-0.389995,0.87481,0.724538
'Light Breeze',-0.333699,Slight,-0.310259,1.417212,-0.389995,1.304472,1.182626
'Light Air',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.05572,1.017714
'Light Air',-0.333699,Slight,-0.310259,1.203278,-0.389995,0.648672,0.981067
'Light Breeze',-0.333699,Moderate,-0.310259,0.754018,-0.389995,0.648672,0.797832
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.033107,1.164303
'Light Breeze',-0.333699,Slight,-0.310259,1.481392,-0.389995,0.671286,0.834479
'Gentle Breeze',-0.333699,Slight,-0.310259,1.181885,-0.389995,1.394927,-0.001707
'Gentle Breeze',-0.333699,Slight,-0.310259,1.438605,-0.389995,1.688906,1.842273
'Gentle Breeze',-0.333699,Slight,-0.310259,1.802292,-0.389995,2.322093,2.355332
'Light Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,1.801975,2.043832
'Light Air',-0.333699,Slight,-0.310259,0.497297,-0.389995,-0.120197,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,0.490376,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,1.331638,-0.389995,1.801975,2.062156
'Light Breeze',-0.333699,Moderate,-0.310259,0.946558,-0.389995,1.010493,0.926097
'Light Breeze',-0.333699,Slight,-0.310259,0.475904,-0.389995,0.987879,1.091008
'Light Breeze',-0.333699,Slight,-0.310259,0.390331,-0.389995,0.173783,0.339744
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,0.309465,0.431361
'Gentle Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,0.490376,0.669567
'Light Breeze',-0.333699,Slight,-0.310259,0.283364,-0.389995,-0.120197,0.248126
'Light Breeze',-0.333699,Slight,-0.310259,0.754018,-0.389995,-0.708155,-0.539786
'Gentle Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,0.445148,-0.001707
'Light Breeze',-0.333699,Slight,-0.310259,1.545572,-0.389995,0.965265,0.669567
'Gentle Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,1.462769,0.94442
'Light Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,1.440155,1.109332
'Light Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,1.05572,0.63292
'Light Breeze',-0.333699,Slight,-0.310259,0.711231,-0.389995,0.671286,0.724538
'Light Breeze',-0.333699,Slight,-0.310259,1.246065,-0.389995,-0.527245,-0.668051
'Light Breeze',-0.333699,Slight,-0.310259,1.181885,-0.389995,0.21901,0.028243
'Light Air',-0.333699,Slight,-0.310259,0.497297,-0.389995,0.060714,-0.30158
'Light Air',-0.333699,Slight,-0.310259,0.582871,-0.389995,0.173783,-0.081698
'Light Breeze',-0.333699,Slight,-0.310259,0.219184,-0.389995,-0.097583,-0.264933
'Light Breeze',-0.333699,Slight,-0.310259,0.604264,-0.389995,-0.685542,-0.668051
'Light Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,-0.685542,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,0.561477,-0.389995,1.575838,1.622391
'Gentle Breeze',-0.333699,Slight,-0.310259,0.433117,-0.389995,0.196396,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,0.048037,-0.389995,1.033107,0.999391
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.31565,-0.389995,0.286851,0.174832
'Light Breeze',-0.333699,Moderate,-0.310259,-0.593764,-0.389995,-0.346335,-0.686374
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.636551,-0.389995,-1.318728,-0.503139
'Light Breeze',-0.333699,Slight,-0.310259,-0.636551,-0.389995,-1.09259,-0.759669
'Light Breeze',-0.333699,Slight,-0.310259,-0.272864,-0.389995,-1.09259,-0.796316
'Light Breeze',-0.333699,Slight,-0.310259,-0.936058,-0.389995,-1.45441,-0.704698
'Light Breeze',-0.333699,Slight,-0.310259,-0.636551,-0.389995,-0.708155,0.229802
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.572371,-0.389995,-0.301107,0.028243
'Light Breeze',-0.333699,Slight,-0.310259,-0.12311,-0.389995,-0.165424,-0.30158
